name,params,keras_size_bytes,tflite_size_bytes,test_accuracy,keras_ms,tflite_ms
fc_baseline,68270,295224,276096,0.9699000120162964,29.74480390548706,0.0034224987030029297
cnn_baseline,422026,1729576,1691100,0.9811000227928162,37.386595010757446,0.0871729850769043
cnn_optimized,106058,465472,428080,0.9878000020980835,45.91909170150757,0.029658079147338867
squeezenet_small,3514,61640,19576,0.11349999904632568,44.89867806434631,0.06793498992919922
mobilenet_v2,2270794,9446928,8912024,0.8899999856948853,40.0983989238739,0.21915555000305176
mcunet_proxy,26698,133480,110736,0.9840999841690063,34.71259593963623,0.016275644302368164
